S1,S2,N,P_down,edge
Gap Up Strong (>0.5%),SGX UP,42,66.66666666666666,12.133513757329709
Gap Up (>0.15%),SGX UP,209,66.02870813397129,11.495555224634344
Gap Up Strong (>0.5%),Europe (DAX) UP,41,65.85365853658537,11.320505627248423
Gap Up (>0.15%),Europe (DAX) UP,195,65.64102564102564,11.107872731688687
Prev India UP,VIX Falling >3%,124,65.32258064516128,10.789427735824333
Gap Up (>0.15%),VIX Falling >3%,143,65.03496503496503,10.501812125628078
Gap Up (>0.15%),VIX Rising >3%,37,64.86486486486487,10.331711955527922
SGX UP,VIX Rising >3%,47,63.829787234042556,9.296634324705607
Europe (DAX) UP,VIX Falling >3%,157,63.69426751592356,9.161114606586615
SGX UP,VIX Falling >3%,176,63.63636363636363,9.103210727026685
Europe (DAX) UP,VIX Rising >3%,63,63.49206349206349,8.958910582726539
Gap Up Strong (>0.5%),US (SP500) UP,51,62.745098039215684,8.211945129878735
Gap Up (>0.15%),US (SP500) UP,228,62.71929824561403,8.186145336277079
Prev India UP,Europe (DAX) UP,230,62.17391304347826,7.64076013414131
US (SP500) UP,VIX Falling >3%,190,62.10526315789474,7.572110248557792
SGX UP,Europe (DAX) UP,252,61.904761904761905,7.371608995424957
US (SP500) UP,SGX UP,299,61.87290969899666,7.33975678965971
Gap Up (>0.15%),Prev India UP,197,60.913705583756354,6.380552674419405
Prev India UP,US (SP500) UP,232,60.775862068965516,6.242709159628568
US (SP500) UP,Europe (DAX) UP,260,60.76923076923077,6.236077859893818
Gap Up Strong (>0.5%),VIX Falling >3%,38,60.526315789473685,5.993162880136737
Gap Up (>0.15%),Prev India DOWN,114,60.526315789473685,5.993162880136737
Prev India UP,SGX UP,239,60.25104602510461,5.717893115767659
US (SP500) UP,VIX Rising >3%,22,59.09090909090909,4.557756181572145
Prev India UP,VIX Spike >10%,24,58.333333333333336,3.8001804239963874
Prev India DOWN,SGX UP,149,57.71812080536913,3.184967896032184
Gap Up (>0.15%),US (SP500) DOWN,75,57.333333333333336,2.8001804239963874
US (SP500) DOWN,VIX Falling >3%,21,57.14285714285714,2.6097042335201905
Gap Up Strong (>0.5%),Prev India UP,37,56.75675675675676,2.2236038474198097
Prev India UP,VIX Rising >3%,87,56.32183908045977,1.7886861711228192
Prev India DOWN,VIX Falling >3%,87,56.32183908045977,1.7886861711228192
Gap Up (>0.15%),Gap Up Strong (>0.5%),64,56.25,1.7168470906630517
SGX DOWN,VIX Spike >10%,57,56.14035087719298,1.607197967856031
US (SP500) DOWN,Europe (DAX) UP,114,56.14035087719298,1.607197967856031
VIX Rising >3%,VIX Spike >10%,63,55.55555555555556,1.0224026462186089
Prev India DOWN,Europe (DAX) UP,153,55.55555555555556,1.0224026462186089
Gap Up Strong (>0.5%),Prev India DOWN,27,55.55555555555556,1.0224026462186089
US (SP500) DOWN,VIX Spike >10%,63,55.55555555555556,1.0224026462186089
Prev India UP,US (SP500) DOWN,156,54.48717948717948,-0.04597342215746636
Prev India UP,SGX DOWN,149,54.36241610738255,-0.17073680195439778
Prev India DOWN,VIX Spike >10%,39,53.84615384615385,-0.6869990631831016
Prev India DOWN,US (SP500) UP,160,53.75,-0.7831529093369483
SGX DOWN,Europe (DAX) UP,121,53.71900826446281,-0.8141446448741405
US (SP500) DOWN,VIX Rising >3%,175,52.57142857142857,-1.9617243379083789
SGX DOWN,VIX Falling >3%,33,51.515151515151516,-3.0180013941854327
Prev India DOWN,VIX Rising >3%,110,50.90909090909091,-3.6240620002460417
US (SP500) DOWN,SGX DOWN,228,50.877192982456144,-3.6559599268808043
US (SP500) DOWN,SGX UP,89,50.56179775280899,-3.971355156527956
Gap Up (>0.15%),SGX DOWN,92,50.0,-4.533152909336948
Gap Down,US (SP500) DOWN,115,49.56521739130435,-4.967935518032597
SGX DOWN,VIX Rising >3%,148,49.32432432432432,-5.2088285850126255
Prev India DOWN,US (SP500) DOWN,162,48.148148148148145,-6.385004761188803
Gap Down,VIX Spike >10%,40,47.5,-7.033152909336948
Gap Down,VIX Rising >3%,89,46.06741573033708,-8.465737178999866
Gap Down,SGX DOWN,114,45.614035087719294,-8.919117821617654
US (SP500) UP,SGX DOWN,91,45.05494505494506,-9.47820785439189
Gap Down,Prev India UP,60,45.0,-9.533152909336948
Prev India DOWN,SGX DOWN,172,44.76744186046512,-9.765711048871829
Gap Down,Prev India DOWN,99,41.41414141414141,-13.119011495195537
Gap Down,Europe (DAX) UP,57,40.35087719298245,-14.182275716354496
Gap Up Strong (>0.5%),SGX DOWN,21,38.095238095238095,-16.437914814098853
Gap Down,SGX UP,41,34.146341463414636,-20.386811445922312
Gap Down,US (SP500) UP,42,23.809523809523807,-30.72362909981314
