Label,N,Freq_pct,P_Down,P_Up,Edge,CI_lo,CI_hi,p_val,Sig,Verdict,S1,S2
Gap Up Strong (>0.5%)+SGX UP,42,5.7,66.7,33.3,12.1,51.6,79.0,0.076,ns,SUGGESTIVE,Gap Up Strong (>0.5%),SGX UP
Gap Up (>0.15%)+SGX UP,209,28.3,66.0,34.0,11.5,59.4,72.1,0.0005,***,RELIABLE,Gap Up (>0.15%),SGX UP
Gap Up Strong (>0.5%)+DAX UP,41,5.5,65.9,34.1,11.3,50.5,78.4,0.0961,ns,SUGGESTIVE,Gap Up Strong (>0.5%),DAX UP
Gap Up (>0.15%)+DAX UP,195,26.4,65.6,34.4,11.1,58.7,71.9,0.0011,**,RELIABLE,Gap Up (>0.15%),DAX UP
Prev India UP+VIX Falling >3%,124,16.8,65.3,34.7,10.8,56.6,73.1,0.0096,**,RELIABLE,Prev India UP,VIX Falling >3%
Gap Up (>0.15%)+VIX Falling >3%,143,19.4,65.0,35.0,10.5,56.9,72.4,0.007,**,RELIABLE,Gap Up (>0.15%),VIX Falling >3%
Gap Up (>0.15%)+VIX Rising >3%,37,5.0,64.9,35.1,10.3,48.8,78.2,0.136,ns,WEAK/SPARSE,Gap Up (>0.15%),VIX Rising >3%
SGX UP+VIX Rising >3%,47,6.4,63.8,36.2,9.3,49.5,76.0,0.1281,ns,WEAK/SPARSE,SGX UP,VIX Rising >3%
DAX UP+VIX Falling >3%,157,21.2,63.7,36.3,9.2,55.9,70.8,0.0126,*,RELIABLE,DAX UP,VIX Falling >3%
SGX UP+VIX Falling >3%,176,23.8,63.6,36.4,9.1,56.3,70.4,0.009,**,RELIABLE,SGX UP,VIX Falling >3%
DAX UP+VIX Rising >3%,63,8.5,63.5,36.5,9.0,51.1,74.3,0.0959,ns,SUGGESTIVE,DAX UP,VIX Rising >3%
Gap Up (>0.15%)+US UP,228,30.9,62.7,37.3,8.2,56.3,68.7,0.0075,**,RELIABLE,Gap Up (>0.15%),US UP
Gap Up Strong (>0.5%)+US UP,51,6.9,62.7,37.3,8.2,49.0,74.7,0.1497,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),US UP
Prev India UP+DAX UP,230,31.1,62.2,37.8,7.6,55.8,68.2,0.0115,*,RELIABLE,Prev India UP,DAX UP
US UP+VIX Falling >3%,190,25.7,62.1,37.9,7.6,55.0,68.7,0.021,*,RELIABLE,US UP,VIX Falling >3%
US UP+SGX UP,299,40.5,61.9,38.1,7.3,56.2,67.2,0.0061,**,RELIABLE,US UP,SGX UP
SGX UP+DAX UP,252,34.1,61.9,38.1,7.4,55.8,67.7,0.0108,*,RELIABLE,SGX UP,DAX UP
Gap Up (>0.15%)+Prev India UP,197,26.7,60.9,39.1,6.4,54.0,67.5,0.0416,*,RELIABLE,Gap Up (>0.15%),Prev India UP
US UP+DAX UP,260,35.2,60.8,39.2,6.2,54.7,66.5,0.0247,*,RELIABLE,US UP,DAX UP
Prev India UP+US UP,232,31.4,60.8,39.2,6.2,54.4,66.8,0.0321,*,RELIABLE,Prev India UP,US UP
Gap Up Strong (>0.5%)+VIX Falling >3%,38,5.1,60.5,39.5,6.0,44.7,74.4,0.2827,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),VIX Falling >3%
Gap Up (>0.15%)+Prev India DOWN,114,15.4,60.5,39.5,6.0,51.4,69.0,0.1165,ns,WEAK/SPARSE,Gap Up (>0.15%),Prev India DOWN
Prev India UP+SGX UP,239,32.3,60.3,39.7,5.7,53.9,66.2,0.0431,*,RELIABLE,Prev India UP,SGX UP
US UP+VIX Rising >3%,22,3.0,59.1,40.9,4.6,38.7,76.7,0.4176,ns,WEAK/SPARSE,US UP,VIX Rising >3%
Prev India UP+VIX Spike >10%,24,3.2,58.3,41.7,3.8,38.8,75.5,0.4356,ns,WEAK/SPARSE,Prev India UP,VIX Spike >10%
Prev India DOWN+SGX UP,149,20.2,57.7,42.3,3.2,49.7,65.4,0.2429,ns,WEAK/SPARSE,Prev India DOWN,SGX UP
Gap Up (>0.15%)+US DOWN,75,10.1,57.3,42.7,2.8,46.1,67.9,0.3566,ns,WEAK/SPARSE,Gap Up (>0.15%),US DOWN
US DOWN+VIX Falling >3%,21,2.8,57.1,42.9,2.6,36.5,75.5,0.4943,ns,WEAK/SPARSE,US DOWN,VIX Falling >3%
Gap Up Strong (>0.5%)+Prev India UP,37,5.0,56.8,43.2,2.2,40.9,71.3,0.4597,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India UP
Prev India DOWN+VIX Falling >3%,87,11.8,56.3,43.7,1.8,45.9,66.3,0.4113,ns,WEAK/SPARSE,Prev India DOWN,VIX Falling >3%
Prev India UP+VIX Rising >3%,87,11.8,56.3,43.7,1.8,45.9,66.3,0.4113,ns,WEAK/SPARSE,Prev India UP,VIX Rising >3%
Gap Up (>0.15%)+Gap Up Strong (>0.5%),64,8.7,56.2,43.8,1.7,44.1,67.7,0.4418,ns,WEAK/SPARSE,Gap Up (>0.15%),Gap Up Strong (>0.5%)
US DOWN+DAX UP,114,15.4,56.1,43.9,1.6,47.0,64.9,0.4022,ns,WEAK/SPARSE,US DOWN,DAX UP
SGX DOWN+VIX Spike >10%,57,7.7,56.1,43.9,1.6,43.3,68.2,0.4576,ns,WEAK/SPARSE,SGX DOWN,VIX Spike >10%
US DOWN+VIX Spike >10%,63,8.5,55.6,44.4,1.0,43.3,67.2,0.487,ns,WEAK/SPARSE,US DOWN,VIX Spike >10%
VIX Rising >3%+VIX Spike >10%,63,8.5,55.6,44.4,1.0,43.3,67.2,0.487,ns,WEAK/SPARSE,VIX Rising >3%,VIX Spike >10%
Prev India DOWN+DAX UP,153,20.7,55.6,44.4,1.0,47.6,63.2,0.4324,ns,WEAK/SPARSE,Prev India DOWN,DAX UP
Gap Up Strong (>0.5%)+Prev India DOWN,27,3.7,55.6,44.4,1.0,37.3,72.4,0.5367,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India DOWN
Prev India UP+US DOWN,156,21.1,54.5,45.5,-0.0,46.7,62.1,0.5265,ns,WEAK/SPARSE,Prev India UP,US DOWN
Prev India UP+SGX DOWN,149,20.2,54.4,45.6,-0.2,46.4,62.2,0.5151,ns,WEAK/SPARSE,Prev India UP,SGX DOWN
Prev India DOWN+US UP,160,21.7,53.8,46.2,-0.8,46.0,61.3,0.4515,ns,WEAK/SPARSE,Prev India DOWN,US UP
Prev India DOWN+VIX Spike >10%,39,5.3,53.8,46.2,-0.7,38.6,68.4,0.5277,ns,WEAK/SPARSE,Prev India DOWN,VIX Spike >10%
SGX DOWN+DAX UP,121,16.4,53.7,46.3,-0.8,44.9,62.4,0.4636,ns,WEAK/SPARSE,SGX DOWN,DAX UP
US DOWN+VIX Rising >3%,175,23.7,52.6,47.4,-2.0,45.2,59.8,0.3275,ns,WEAK/SPARSE,US DOWN,VIX Rising >3%
SGX DOWN+VIX Falling >3%,33,4.5,51.5,48.5,-3.0,35.2,67.5,0.4293,ns,WEAK/SPARSE,SGX DOWN,VIX Falling >3%
Prev India DOWN+VIX Rising >3%,110,14.9,50.9,49.1,-3.6,41.7,60.1,0.2518,ns,WEAK/SPARSE,Prev India DOWN,VIX Rising >3%
US DOWN+SGX DOWN,228,30.9,50.9,49.1,-3.7,44.4,57.3,0.1487,ns,WEAK/SPARSE,US DOWN,SGX DOWN
US DOWN+SGX UP,89,12.0,50.6,49.4,-4.0,40.4,60.7,0.2587,ns,WEAK/SPARSE,US DOWN,SGX UP
Gap Up (>0.15%)+SGX DOWN,92,12.4,50.0,50.0,-4.5,40.0,60.0,0.2208,ns,WEAK/SPARSE,Gap Up (>0.15%),SGX DOWN
Gap Down+US DOWN,115,15.6,49.6,50.4,-5.0,40.6,58.6,0.1644,ns,WEAK/SPARSE,Gap Down,US DOWN
SGX DOWN+VIX Rising >3%,148,20.0,49.3,50.7,-5.2,41.4,57.3,0.1172,ns,WEAK/SPARSE,SGX DOWN,VIX Rising >3%
Prev India DOWN+US DOWN,162,21.9,48.1,51.9,-6.4,40.6,55.8,0.0605,ns,SUGGESTIVE,Prev India DOWN,US DOWN
Gap Down+VIX Spike >10%,40,5.4,47.5,52.5,-7.0,32.9,62.5,0.2308,ns,WEAK/SPARSE,Gap Down,VIX Spike >10%
DAX UP+VIX Spike >10%,13,1.8,46.2,53.8,-8.4,23.2,70.9,0.3692,ns,WEAK/SPARSE,DAX UP,VIX Spike >10%
Gap Down+VIX Rising >3%,89,12.0,46.1,53.9,-8.5,36.1,56.4,0.0674,ns,SUGGESTIVE,Gap Down,VIX Rising >3%
Gap Down+SGX DOWN,114,15.4,45.6,54.4,-8.9,36.8,54.8,0.0348,*,RELIABLE,Gap Down,SGX DOWN
US UP+SGX DOWN,91,12.3,45.1,54.9,-9.5,35.2,55.3,0.0439,*,RELIABLE,US UP,SGX DOWN
Gap Down+Prev India UP,60,8.1,45.0,55.0,-9.5,33.1,57.5,0.0882,ns,SUGGESTIVE,Gap Down,Prev India UP
Prev India DOWN+SGX DOWN,172,23.3,44.8,55.2,-9.8,37.5,52.2,0.0064,**,RELIABLE,Prev India DOWN,SGX DOWN
Gap Down+Prev India DOWN,99,13.4,41.4,58.6,-13.1,32.2,51.3,0.0059,**,RELIABLE,Gap Down,Prev India DOWN
Gap Down+DAX UP,57,7.7,40.4,59.6,-14.2,28.6,53.3,0.022,*,RELIABLE,Gap Down,DAX UP
Gap Down+VIX Falling >3%,18,2.4,38.9,61.1,-15.6,20.3,61.4,0.1366,ns,WEAK/SPARSE,Gap Down,VIX Falling >3%
Gap Up Strong (>0.5%)+SGX DOWN,21,2.8,38.1,61.9,-16.4,20.8,59.1,0.0981,ns,SUGGESTIVE,Gap Up Strong (>0.5%),SGX DOWN
Gap Down+SGX UP,41,5.5,34.1,65.9,-20.4,21.6,49.5,0.0068,**,RELIABLE,Gap Down,SGX UP
Gap Up Strong (>0.5%)+US DOWN,12,1.6,33.3,66.7,-21.2,13.8,60.9,0.1182,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),US DOWN
Gap Down+US UP,42,5.7,23.8,76.2,-30.7,13.5,38.5,0.0001,***,RELIABLE,Gap Down,US UP
