Market,Prev_Day,N,Ret30_Mean_%,WinRate30_%,Ret60_Mean_%,WinRate60_%
SP500,Down,327,0.0,48.93,-0.01,48.93
SP500,Up,413,-0.06,42.62,-0.06,45.28
NASDAQ,Down,321,-0.0,48.91,-0.02,48.91
NASDAQ,Up,419,-0.05,42.72,-0.06,45.35
DOW,Down,341,-0.0,48.39,-0.02,47.8
DOW,Up,399,-0.05,42.86,-0.05,46.12
NIKKEI,Down,333,-0.02,47.15,-0.05,46.55
NIKKEI,Up,403,-0.04,43.92,-0.03,46.9
HANGSENG,Down,366,-0.03,47.27,-0.06,45.63
HANGSENG,Up,373,-0.03,43.7,-0.02,48.26
SHANGHAI,Down,343,-0.03,47.81,-0.04,48.98
SHANGHAI,Up,373,-0.03,43.7,-0.04,45.04
KOSPI,Down,318,-0.01,46.86,-0.04,45.91
KOSPI,Up,413,-0.04,44.07,-0.04,47.46
FTSE,Down,334,-0.02,47.6,-0.03,46.71
FTSE,Up,406,-0.04,43.6,-0.05,47.04
DAX,Down,343,-0.0,49.56,-0.01,50.44
DAX,Up,396,-0.05,41.67,-0.07,43.94
CAC,Down,349,-0.02,46.99,-0.01,48.42
CAC,Up,391,-0.04,43.99,-0.06,45.52
ASX200,Down,344,-0.04,42.44,-0.07,43.6
ASX200,Up,396,-0.02,47.98,-0.02,49.75
SGX_NIFTY,Down,332,0.01,51.2,-0.0,50.6
SGX_NIFTY,Up,404,-0.06,40.84,-0.06,44.31
