Market,N,r_30min,p_30min,sig_30,r_60min,p_60min,sig_60
SHANGHAI,716,0.06598284920608713,0.07766146356982304,,0.06490684995613336,0.08263727206981558,
KOSPI,731,0.03295146233441869,0.3736667286747261,,0.0723210260759874,0.05063524750961501,
ASX200,740,0.0022547711816404067,0.9511738113910087,,0.05039842992383792,0.17083108323006377,
NIKKEI,736,-0.011958739881219732,0.7460193278405325,,0.023428716061816388,0.5256815611916636,
HANGSENG,739,-0.03561593823384723,0.33360842053683826,,0.020198130008261143,0.5835520996968163,
SGX_NIFTY,740,-0.07041020775795055,0.055555872703746026,,-0.060840610599683806,0.09817264565426646,
CAC,740,-0.07143952900594998,0.052069038329466195,,-0.0513565024768637,0.1628328036357621,
NASDAQ,740,-0.08338438832253153,0.023303769004636602,*,-0.07601102371000067,0.03871350224090869,*
FTSE,740,-0.09342725663355858,0.010997970774769971,*,-0.04681818838193363,0.20332443186090773,
DAX,739,-0.09719376090392906,0.008194268715638199,**,-0.07416309136849547,0.04385711429050606,*
SP500,740,-0.09899743036252083,0.007036925648088474,**,-0.07595386336583064,0.038860579755256766,*
DOW,740,-0.12950279403822426,0.0004127662064377147,***,-0.0870054983761081,0.017918650270893757,*
