N,Freq,P_Down,P_Up,Edge,CI_lo,CI_hi,p_val,Sig,Verdict,Level,Signal
65,8.8,73.8,26.2,19.3,62.0,83.0,0.0011,**,RELIABLE,4,Gap Up + Prev India DOWN + US UP + SGX UP
52,7.0,73.1,26.9,18.5,59.7,83.2,0.0047,**,RELIABLE,4,Gap Up + Prev India DOWN + SGX UP + DAX UP
71,9.6,71.8,28.2,17.3,60.5,81.0,0.0021,**,RELIABLE,3,Gap Up + Prev India DOWN + SGX UP
42,5.7,71.4,28.6,16.9,56.4,82.8,0.0191,*,RELIABLE,4,Gap Up + Prev India DOWN + SGX UP + VIX Falling
99,13.4,69.7,30.3,15.2,60.0,77.9,0.0015,**,RELIABLE,4,Gap Up + SGX UP + DAX UP + VIX Falling
56,7.6,69.6,30.4,15.1,56.7,80.1,0.0152,*,RELIABLE,4,Gap Up + Prev India DOWN + US UP + DAX UP
125,16.9,68.0,32.0,13.5,59.4,75.5,0.0015,**,RELIABLE,3,Gap Up + SGX UP + VIX Falling
153,20.7,68.0,32.0,13.4,60.2,74.8,0.0005,***,RELIABLE,3,Gap Up + SGX UP + DAX UP
137,18.5,67.9,32.1,13.4,59.7,75.1,0.001,***,RELIABLE,4,Gap Up + US UP + SGX UP + DAX UP
111,15.0,67.6,32.4,13.0,58.4,75.6,0.0035,**,RELIABLE,3,Gap Up + DAX UP + VIX Falling
183,24.8,67.2,32.8,12.7,60.1,73.6,0.0003,***,RELIABLE,3,Gap Up + US UP + SGX UP
85,11.5,67.1,32.9,12.5,56.5,76.1,0.0128,*,RELIABLE,4,Prev India UP + SGX UP + DAX UP + VIX Falling
73,9.9,67.1,32.9,12.6,55.7,76.8,0.0196,*,RELIABLE,4,Gap Up + Prev India UP + DAX UP + VIX Falling
126,17.1,66.7,33.3,12.1,58.1,74.3,0.0038,**,RELIABLE,3,Gap Up + Prev India UP + DAX UP
104,14.1,66.3,33.7,11.8,56.8,74.7,0.0096,**,RELIABLE,4,Gap Up + US UP + DAX UP + VIX Falling
83,11.2,66.3,33.7,11.7,55.6,75.5,0.02,*,RELIABLE,4,Gap Up + Prev India UP + SGX UP + VIX Falling
118,16.0,66.1,33.9,11.6,57.2,74.0,0.0071,**,RELIABLE,4,Gap Up + US UP + SGX UP + VIX Falling
109,14.7,66.1,33.9,11.5,56.8,74.3,0.0096,**,RELIABLE,3,Prev India UP + SGX UP + VIX Falling
209,28.3,66.0,34.0,11.5,59.4,72.1,0.0005,***,RELIABLE,2,Gap Up + SGX UP
94,12.7,66.0,34.0,11.4,55.9,74.7,0.0162,*,RELIABLE,3,Prev India UP + DAX UP + VIX Falling
135,18.3,65.9,34.1,11.4,57.6,73.4,0.0047,**,RELIABLE,3,SGX UP + DAX UP + VIX Falling
82,11.1,65.9,34.1,11.3,55.1,75.2,0.0248,*,RELIABLE,3,Gap Up + Prev India DOWN + US UP
79,10.7,65.8,34.2,11.3,54.8,75.3,0.0276,*,RELIABLE,4,Prev India DOWN + US UP + SGX UP + DAX UP
195,26.4,65.6,34.4,11.1,58.7,71.9,0.0011,**,RELIABLE,2,Gap Up + DAX UP
93,12.6,65.6,34.4,11.1,55.5,74.5,0.02,*,RELIABLE,3,Gap Up + Prev India UP + VIX Falling
162,21.9,65.4,34.6,10.9,57.8,72.3,0.0032,**,RELIABLE,3,Gap Up + US UP + DAX UP
101,13.7,65.3,34.7,10.8,55.7,73.9,0.0179,*,RELIABLE,4,Gap Up + Prev India UP + SGX UP + DAX UP
124,16.8,65.3,34.7,10.8,56.6,73.1,0.0096,**,RELIABLE,2,Prev India UP + VIX Falling
112,15.2,65.2,34.8,10.6,56.0,73.4,0.0145,*,RELIABLE,3,Prev India UP + US UP + VIX Falling
143,19.4,65.0,35.0,10.5,56.9,72.4,0.007,**,RELIABLE,2,Gap Up + VIX Falling
100,13.5,65.0,35.0,10.5,55.3,73.6,0.0219,*,RELIABLE,4,Prev India UP + US UP + SGX UP + VIX Falling
87,11.8,64.4,35.6,9.8,53.9,73.6,0.0405,*,RELIABLE,4,Prev India UP + US UP + DAX UP + VIX Falling
132,17.9,64.4,35.6,9.9,55.9,72.0,0.0138,*,RELIABLE,3,Gap Up + US UP + VIX Falling
128,17.3,64.1,35.9,9.5,55.5,71.9,0.0183,*,RELIABLE,4,US UP + SGX UP + DAX UP + VIX Falling
157,21.2,63.7,36.3,9.2,55.9,70.8,0.0126,*,RELIABLE,2,DAX UP + VIX Falling
118,16.0,63.6,36.4,9.0,54.6,71.7,0.0296,*,RELIABLE,4,Gap Up + Prev India UP + US UP + SGX UP
176,23.8,63.6,36.4,9.1,56.3,70.4,0.009,**,RELIABLE,2,SGX UP + VIX Falling
162,21.9,63.6,36.4,9.0,55.9,70.6,0.0123,*,RELIABLE,3,US UP + SGX UP + VIX Falling
106,14.3,63.2,36.8,8.7,53.7,71.8,0.0442,*,RELIABLE,4,Gap Up + Prev India UP + US UP + DAX UP
212,28.7,63.2,36.8,8.7,56.5,69.4,0.0065,**,RELIABLE,3,US UP + SGX UP + DAX UP
114,15.4,63.2,36.8,8.6,54.0,71.4,0.0389,*,RELIABLE,3,Prev India DOWN + US UP + SGX UP
138,18.7,63.0,37.0,8.5,54.7,70.6,0.0266,*,RELIABLE,3,Gap Up + Prev India UP + SGX UP
228,30.9,62.7,37.3,8.2,56.3,68.7,0.0075,**,RELIABLE,2,Gap Up + US UP
147,19.9,62.6,37.4,8.1,54.5,70.0,0.0296,*,RELIABLE,3,US UP + DAX UP + VIX Falling
157,21.2,62.4,37.6,7.9,54.6,69.6,0.0278,*,RELIABLE,3,Prev India UP + SGX UP + DAX UP
230,31.1,62.2,37.8,7.6,55.8,68.2,0.0115,*,RELIABLE,2,Prev India UP + DAX UP
190,25.7,62.1,37.9,7.6,55.0,68.7,0.021,*,RELIABLE,2,US UP + VIX Falling
299,40.5,61.9,38.1,7.3,56.2,67.2,0.0061,**,RELIABLE,2,US UP + SGX UP
252,34.1,61.9,38.1,7.4,55.8,67.7,0.0108,*,RELIABLE,2,SGX UP + DAX UP
211,28.6,61.6,38.4,7.1,54.9,67.9,0.0225,*,RELIABLE,1,VIX Falling
158,21.4,61.4,38.6,6.9,53.6,68.6,0.0487,*,RELIABLE,3,Prev India UP + US UP + DAX UP
185,25.0,61.1,38.9,6.5,53.9,67.8,0.0427,*,RELIABLE,3,Prev India UP + US UP + SGX UP
197,26.7,60.9,39.1,6.4,54.0,67.5,0.0416,*,RELIABLE,2,Gap Up + Prev India UP
311,42.1,60.8,39.2,6.2,55.2,66.0,0.0153,*,RELIABLE,1,Gap Up
260,35.2,60.8,39.2,6.2,54.7,66.5,0.0247,*,RELIABLE,2,US UP + DAX UP
232,31.4,60.8,39.2,6.2,54.4,66.8,0.0321,*,RELIABLE,2,Prev India UP + US UP
239,32.3,60.3,39.7,5.7,53.9,66.2,0.0431,*,RELIABLE,2,Prev India UP + SGX UP
384,52.0,59.4,40.6,4.8,54.4,64.2,0.0315,*,RELIABLE,1,DAX UP
388,52.5,59.3,40.7,4.7,54.3,64.1,0.0336,*,RELIABLE,1,SGX UP
322,43.6,49.1,50.9,-5.5,43.7,54.5,0.0281,*,RELIABLE,1,SGX DOWN
114,15.4,45.6,54.4,-8.9,36.8,54.8,0.0348,*,RELIABLE,2,Gap Down + SGX DOWN
91,12.3,45.1,54.9,-9.5,35.2,55.3,0.0439,*,RELIABLE,2,US UP + SGX DOWN
172,23.3,44.8,55.2,-9.8,37.5,52.2,0.0064,**,RELIABLE,2,Prev India DOWN + SGX DOWN
160,21.7,42.5,57.5,-12.0,35.1,50.2,0.0015,**,RELIABLE,1,Gap Down
99,13.4,41.4,58.6,-13.1,32.2,51.3,0.0059,**,RELIABLE,2,Gap Down + Prev India DOWN
57,7.7,40.4,59.6,-14.2,28.6,53.3,0.022,*,RELIABLE,2,Gap Down + DAX UP
41,5.5,34.1,65.9,-20.4,21.6,49.5,0.0068,**,RELIABLE,2,Gap Down + SGX UP
45,6.1,31.1,68.9,-23.4,19.5,45.7,0.0013,**,RELIABLE,3,Prev India DOWN + US UP + SGX DOWN
42,5.7,23.8,76.2,-30.7,13.5,38.5,0.0001,***,RELIABLE,2,Gap Down + US UP
